timestep	potential_energy	temperature
29200	2.522226926	0.1564552192
29300	2.714109642	0.1968797405
29400	2.808798742	0.1481511417
29500	1.692633594	0.1904361753
29600	1.755344982	0.2227300403
29700	1.334615525	0.244386047
29800	1.7697922	0.1954238843
29900	1.353101187	0.1885503298
30000	2.46067056	0.2062075533
30100	2.312048372	0.2985795454
30200	3.252593215	0.1587375476
30300	2.975984204	0.2222428705
30400	3.091101737	0.209646224
30500	2.473128628	0.2074198128
30600	3.586857981	0.1993646563
30700	4.093706855	0.1155682605
30800	3.017513687	0.2376998736
30900	3.35287795	0.2150795828
31000	2.429157486	0.2910535981
31100	2.799415856	0.3031338931
31200	2.990665453	0.2873124022
31300	2.127699644	0.2913780708
